County,location_type,gender,education_level,marital_status,adults,financially_excluded,age,is_youth,is_rural_youth
Homabay,Rural,Male,Primary completed,Single/Never Married,>1 adult Household,0,22,1,1
Marsabit,Rural,Female,None ,Married/Living with partner,>1 adult Household,1,78,0,0
Nakuru,Rural,Male,Some secondary,Divorced/separated,1 adult Household,1,67,0,0
Murang'a,Rural,Female,None ,Widowed,>1 adult Household,0,61,0,0
Kericho,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,83,0,0
Nyeri,Rural,Male,Secondary completed ,Single/Never Married,1 adult Household,0,22,1,1
Siaya,Rural,Female,Some primary ,Widowed,1 adult Household,0,35,1,1
Nyamira,Rural,Female,None ,Married/Living with partner,1 adult Household,0,80,0,0
Uasin Gishu,Rural,Male,Some primary ,Divorced/separated,1 adult Household,1,23,1,1
Baringo,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,39,0,0
Nyandarua,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,55,0,0
Garissa,Rural,Female,None ,Married/Living with partner,1 adult Household,0,48,0,0
Kirinyaga,Rural,Female,None ,Widowed,>1 adult Household,1,90,0,0
Tharaka-Nithi,Rural,Female,Some primary ,Widowed,>1 adult Household,0,75,0,0
Migori,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,23,1,1
Bomet,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,25,1,1
Nairobi City,Urban,Male,Some university,Single/Never Married,1 adult Household,0,34,1,0
Nairobi City,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,32,1,0
Marsabit,Rural,Female,None ,Widowed,>1 adult Household,1,60,0,0
Nairobi City,Urban,Male,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,29,1,0
Isiolo,Urban,Male,Some secondary,Married/Living with partner,>1 adult Household,0,29,1,0
Baringo,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,31,1,1
Vihiga,Rural,Male,None ,Widowed,>1 adult Household,0,67,0,0
Tharaka-Nithi,Rural,Female,None ,Widowed,1 adult Household,0,72,0,0
Nandi,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,32,1,1
Kajiado,Urban,Male,Secondary completed ,Single/Never Married,1 adult Household,0,27,1,0
Kirinyaga,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,56,0,0
Laikipia,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,29,1,0
Wajir,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,34,1,1
Kisii,Rural,Female,Completed technical training after secondary school,Married/Living with partner,1 adult Household,0,42,0,0
Siaya,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,35,1,1
Migori,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,21,1,1
Baringo,Rural,Male,Secondary completed ,Single/Never Married,1 adult Household,0,34,1,1
Nairobi City,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,21,1,0
Kajiado,Urban,Male,Some university,Single/Never Married,>1 adult Household,0,21,1,0
Lamu,Rural,Male,Primary completed,Single/Never Married,1 adult Household,1,25,1,1
Bungoma,Rural,Male,Some technical training after secondary school,Single/Never Married,>1 adult Household,0,18,1,1
Turkana,Rural,Female,None ,Widowed,>1 adult Household,1,66,0,0
Kericho,Rural,Female,Primary completed,Married/Living with partner,>1 adult Household,0,48,0,0
Kakamega,Rural,Male,Secondary completed ,Single/Never Married,>1 adult Household,1,18,1,1
Busia,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,35,1,1
Meru,Urban,Male,Completed technical training after secondary school,Single/Never Married,1 adult Household,0,25,1,0
Nakuru,Rural,Female,None ,Single/Never Married,1 adult Household,1,35,1,1
Busia,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,49,0,0
Kisii,Rural,Male,Secondary completed ,Single/Never Married,>1 adult Household,1,20,1,1
Meru,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,59,0,0
Machakos,Urban,Female,Secondary completed ,Single/Never Married,1 adult Household,0,20,1,0
Baringo,Rural,Female,Secondary completed ,Married/Living with partner,>1 adult Household,0,30,1,1
West Pokot,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,33,1,1
Uasin Gishu,Rural,Female,Some primary ,Divorced/separated,>1 adult Household,0,30,1,1
Nakuru,Urban,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,42,0,0
Mombasa,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,24,1,0
West Pokot,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,1,29,1,1
Migori,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,58,0,0
Kisumu,Urban,Female,Secondary completed ,Married/Living with partner,1 adult Household,0,34,1,0
Siaya,Rural,Male,University completed ,Married/Living with partner,>1 adult Household,0,59,0,0
Nyamira,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,37,0,0
Homabay,Urban,Male,Some university,Single/Never Married,>1 adult Household,0,23,1,0
Mandera,Urban,Male,None ,Married/Living with partner,>1 adult Household,0,39,0,0
Mandera,Urban,Female,Secondary completed ,Divorced/separated,1 adult Household,0,32,1,0
Narok,Rural,Female,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,63,0,0
Bungoma,Rural,Female,None ,Widowed,1 adult Household,0,82,0,0
Garissa,Urban,Male,Secondary completed ,Single/Never Married,1 adult Household,0,27,1,0
Garissa,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,18,1,1
West Pokot,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,1,22,1,0
Kwale,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,48,0,0
Kisii,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,54,0,0
